id,nct_id,priority,track,status,last_checked,condition,intervention,linked_pubmed,evidence_role,protocol_impact,next_check
CTG-001,NCT06116760,High,AV+tDCS,Completed,2026-06-11,"Chronic homonymous visual field defects after acquired brain injury","Anodal or sham tDCS plus audiovisual training",PMID39607286,"Best exact-match tDCS plus audiovisual clinical trial lead","Clinician-supervised adjunct candidate only; do not add home tDCS before behavioral baseline and plateau","Check for posted registry results or replication"
CTG-002,NCT04963075,High,AV multisensory,Completed with results posted,2026-06-11,"Stable homonymous hemianopia","Multisensory rehabilitation paradigm",PMID36604169,"Closest Wake Forest adult chronic AV training registry line","Supports current AV core; sample/results still small and high-variance","Monitor for full results publication and protocol/SAP updates"
CTG-003,NCT05894434,High,AV multisensory,Not yet recruiting,2026-06-11,"Homonymous hemianopia after stroke","Multisensory training versus unisensory training",,"Wake Forest next-stage AV study","Watch only; no immediate protocol change","Check recruitment status and protocol details"
CTG-004,NCT07358832,High,AV+tDCS,Recruiting,2026-06-11,"Subacute homonymous hemianopsia after stroke","tDCS plus audiovisual training",,"Best active AV+tDCS trial lead, but subacute not chronic","Watch as future evidence; not directly applicable to Eric's chronic window","Monthly status/results check"
CTG-005,NCT02935413,High,VRT+tDCS,Completed,2026-06-11,"Subacute homonymous visual field defects after PCA stroke","tDCS plus vision restoration training versus standard rehab",PMID28082176,"Subacute VRT+tDCS feasibility and safety pilot","Park as early-window adjunct evidence; not a chronic home protocol","Check whether later randomized follow-up has published"
CTG-006,NCT03350919,Medium,Blind-field visual restoration,Completed with results posted,2026-06-11,"Hemianopia caused by brain damage","Blind-field training versus intact-field training",,"Modern blind-field training comparator with posted PMD results","Supports measurement-first visual training; not audiovisual and long dose","Track related Rochester/Huxlin publications"
CTG-007,NCT04230486,Medium,VR cross-modal AV,Completed with results posted,2026-06-11,"Homonymous hemianopia","VR cross-modal visual-auditory rehabilitation",,"VR audiovisual/cross-modal comparator with posted outcomes","Supports Quest/cross-modal direction; needs careful effect-size review","Extract outcome table before citing quantitatively"
CTG-008,NCT05085210,Medium,NIBS+visual training,Recruiting,2026-06-11,"Visual field defects after cortical damage","tRNS plus computer or VR visual training",,"Active neuromodulation plus VR/visual-training lead","Watch only; tRNS is not tDCS and is not part of NegletFix","Monthly status/results check"
CTG-009,NCT04798924,Medium,Visual restoration timing,Active not recruiting,2026-06-11,"Occipital stroke visual field loss","Subacute and chronic blind-field/intact-field training",,"Timing/plasticity study relevant to chronic-vs-subacute expectations","Watch for results to refine dose/timing expectations","Quarterly status/results check"
